date,open,high,low,close,close_adj,volume,div,split,trend,seasonal,residual,SMA,EMA,diffCloseSMA,BBlow,BBmid,BBup,BBwidth,BBperc,RSI,5dayMinimum,5dayMaximum,5dayExtremum,20dayMinimum,20dayMaximum,20dayExtremum,60dayMinimum,60dayMaximum,60dayExtremum,10dayTrendWeak,5dayTrendStrong,1dayReturn,1dayReturn_perc,2dayReturn,2dayReturn_perc,3dayReturn,3dayReturn_perc,4dayReturn,4dayReturn_perc,5dayReturn,5dayReturn_perc,close_adj_in1days,close_adj_in2days,close_adj_in3days,close_adj_in4days,close_adj_in5days,buySellKeepRec
2011-06-15,62.85,63.69,62.21,62.38,42.4906,2449543.0,0.0,1.0,39.93152916666667,1.0116303980970542,1.0518530030225008,41.635415,41.83511235498769,0.8551849999999988,40.13813905979967,41.635415,43.132690940200334,7.192319039934305,0.7855802918617583,56.604693601490176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.7220000000000013,-0.016991993523273408,1.2261000000000024,-0.028855793987376144,1.0354000000000028,-0.024367742512461543,1.6824999999999974,-0.03959699321732324,2.0503,-0.04825302537502418,43.2126,43.7167,43.526,44.1731,44.5409,1.0
2011-06-14,62.04,63.52,62.01,63.4,43.1854,2637256.0,0.0,1.0,39.94917162698413,1.0156509622611984,1.0643505376717681,41.59693,41.76611365551271,1.588470000000001,40.15086495291437,41.59693,43.04299504708563,6.952748902794664,1.0492387784357864,65.19865912755054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.6948000000000008,0.016088770741963687,0.027200000000000557,-0.0006298424930648583,0.5313000000000017,-0.01230276899137217,0.340600000000002,-0.007886924747715796,0.9876999999999967,-0.022871155529414988,42.4906,43.2126,43.7167,43.526,44.1731,0.0
2011-06-13,62.5,62.92,61.72,62.51,42.5792,1149645.0,0.0,1.0,39.964746428571424,1.0083022583678103,1.0566464438364254,41.500545,41.6167150929351,1.0786549999999977,40.246626399012385,41.500545,42.75446360098762,6.042901850988306,0.9301136449967414,60.488158499917546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.6062000000000012,-0.01423699834661063,-0.08859999999999957,0.0020808281978055287,0.6334000000000017,-0.014875807906207683,1.1375000000000028,-0.026714921839771533,0.9468000000000032,-0.022236209228919446,43.1854,42.4906,43.2126,43.7167,43.526,0.0
2011-06-10,62.99,63.47,62.04,62.34,42.4634,2748506.0,0.0,1.0,39.97965734126984,1.014147639590395,1.0473082219775014,41.467505,41.51540089219143,0.9958949999999973,40.29696387304088,41.467505,42.638046126959125,5.64558261684238,0.9253994059086041,59.54679099290062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.11580000000000013,-0.0027270543573996164,0.7220000000000013,-0.017002877772387626,0.027200000000000557,-0.0006405516279901491,0.7492000000000019,-0.017643429400377775,1.253300000000003,-0.029514829241181983,42.5792,43.1854,42.4906,43.2126,43.7167,1.0
2011-06-09,61.26,63.06,60.97,62.93,42.8652,4258202.0,0.0,1.0,39.99090297619047,1.0177348246110598,1.053195533463386,41.40688,41.41561151242211,1.4583200000000005,40.32683965704854,41.40688,42.486920342951464,5.216719264776593,1.1751229292115144,64.33321383994874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.4018000000000015,0.009373571101966238,-0.28600000000000136,0.006672078982484675,0.3201999999999998,-0.007469928986683749,-0.37460000000000093,0.008739023730205409,0.3474000000000004,-0.008104476358444579,42.4634,42.5792,43.1854,42.4906,43.2126,0.0
2011-06-08,59.88,61.0,59.26,61.0,41.5506,2859053.0,0.0,1.0,40.002720436507936,1.0183574528492827,1.019970300745138,41.37117500000001,41.263023250571806,0.17942499999999484,40.45094622871392,41.37117500000001,42.2914037712861,4.448647017089027,0.5974893448230457,53.273557801752496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1.3145999999999987,-0.03163853229556257,0.9127999999999972,-0.021968395161561904,1.0285999999999973,-0.024755358526711957,1.6347999999999985,-0.03934479887173703,0.9399999999999977,-0.02262301868083738,42.8652,42.4634,42.5792,43.1854,42.4906,1.0
2011-06-07,60.7,61.13,60.12,60.32,41.0874,1379774.0,0.0,1.0,40.019039285714285,1.015369524095594,1.0111553346101994,41.39987000000001,41.23275201378989,-0.3124700000000047,40.42488875689698,41.39987000000001,42.37485124310303,4.710069104579427,0.3397558916079646,48.177772118000775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.4632000000000005,-0.011273529111114344,1.7777999999999992,-0.04326873932154385,1.3759999999999977,-0.03348958561505477,1.4917999999999978,-0.036307967892833304,2.097999999999999,-0.05106188271830292,41.5506,42.8652,42.4634,42.5792,43.1854,1.0
2011-06-06,60.1,60.96,59.75,60.74,41.3735,1579540.0,0.0,1.0,40.03961646825397,1.023501204950147,1.0095875692453813,41.435050000000004,41.24805222576777,-0.06155000000000399,40.456936034246155,41.435050000000004,42.41316396575385,4.721191193223365,0.46853638627244915,51.2869618837835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.2860999999999976,0.006915054322211067,0.17710000000000292,-0.004280517722696997,1.4917000000000016,-0.03605447931647077,1.0899,-0.026342948989087178,1.2057000000000002,-0.029141842000314222,41.0874,41.5506,42.8652,42.4634,42.5792,0.0
2011-06-03,60.26,60.91,59.65,60.29,41.067,1760477.0,0.0,1.0,40.06391845238095,1.018868032947281,1.0060547561977489,41.40958,41.23484719690122,-0.3425799999999981,40.40034705047709,41.40958,42.41881294952291,4.874393555901368,0.3302770434903339,48.054736786073846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.3064999999999998,-0.0074634134463194,0.020400000000002194,-0.0004967492146978891,0.4836000000000027,-0.01177587844254524,1.7982000000000014,-0.043786982248520845,1.3963999999999999,-0.0340029707551075,41.3735,41.0874,41.5506,42.8652,42.4634,1.0
2011-06-02,60.3,60.9,59.4,60.14,40.9648,1915722.0,0.0,1.0,40.09304444444444,1.0192437056024464,1.0024524124251737,41.450784999999996,41.25251532289082,-0.48598499999999945,40.433602701145595,41.450784999999996,42.4679672988544,4.907903668673106,0.261112142559235,46.999377641654384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.1022000000000034,-0.002494824825215902,0.40870000000000317,-0.009976858180682058,0.1226000000000056,-0.0029928133421865954,0.5858000000000061,-0.01430008202163835,1.9004000000000048,-0.04639104792407145,41.067,41.3735,41.0874,41.5506,42.8652,1.0
